183.6617 	EXP 	window1: recordFrameIntervals = False
184.6600 	EXP 	polygon: autoDraw = True
185.6616 	EXP 	polygon: autoDraw = False
185.6616 	EXP 	grating: autoDraw = True
185.6616 	EXP 	grating: tex = 'sin'
185.9615 	EXP 	grating: autoDraw = False
186.1637 	EXP 	window1: recordFrameIntervals = False
186.1648 	DATA 	Keypress: left
186.1785 	EXP 	polygon: autoDraw = False
186.1785 	EXP 	grating: autoDraw = False
186.1787 	EXP 	window1: recordFrameIntervals = False
187.1772 	EXP 	polygon: autoDraw = True
188.1620 	EXP 	grating: autoDraw = True
188.1620 	EXP 	grating: tex = 'sin'
188.1789 	EXP 	polygon: autoDraw = False
188.4622 	EXP 	grating: autoDraw = False
188.5143 	EXP 	window1: recordFrameIntervals = False
188.5153 	DATA 	Keypress: left
188.5289 	EXP 	polygon: autoDraw = False
188.5289 	EXP 	grating: autoDraw = False
188.5291 	EXP 	window1: recordFrameIntervals = False
189.5284 	EXP 	polygon: autoDraw = True
190.5132 	EXP 	grating: autoDraw = True
190.5132 	EXP 	grating: tex = 'sin'
190.5300 	EXP 	polygon: autoDraw = False
190.8129 	EXP 	grating: autoDraw = False
190.8817 	EXP 	window1: recordFrameIntervals = False
190.8827 	DATA 	Keypress: right
190.8965 	EXP 	polygon: autoDraw = False
190.8965 	EXP 	grating: autoDraw = False
190.8967 	EXP 	window1: recordFrameIntervals = False
191.8953 	EXP 	polygon: autoDraw = True
192.8811 	EXP 	grating: autoDraw = True
192.8811 	EXP 	grating: tex = 'sin'
192.8976 	EXP 	polygon: autoDraw = False
193.1811 	EXP 	grating: autoDraw = False
193.2999 	EXP 	window1: recordFrameIntervals = False
193.3010 	DATA 	Keypress: right
193.3141 	EXP 	polygon: autoDraw = False
193.3141 	EXP 	grating: autoDraw = False
193.3143 	EXP 	window1: recordFrameIntervals = False
194.3133 	EXP 	polygon: autoDraw = True
195.3147 	EXP 	polygon: autoDraw = False
195.3147 	EXP 	grating: autoDraw = True
195.3147 	EXP 	grating: tex = 'sin'
195.6146 	EXP 	grating: autoDraw = False
195.7505 	EXP 	window1: recordFrameIntervals = False
195.7515 	DATA 	Keypress: right
195.7646 	EXP 	polygon: autoDraw = False
195.7646 	EXP 	grating: autoDraw = False
195.7648 	EXP 	window1: recordFrameIntervals = False
196.7637 	EXP 	polygon: autoDraw = True
197.7486 	EXP 	grating: autoDraw = True
197.7486 	EXP 	grating: tex = 'sin'
197.7650 	EXP 	polygon: autoDraw = False
